CUSTOMER_ID,EMPLOYEE_SIZE,CUSTOMER_SEGMENT
H00542692,1 to 25,NAM Low-Touch
H00542707,201 or Above,International Partner
H00542753,26 to 200,NAM Low-Touch
H00542817,26 to 200,NAM Low-Touch
H00542834,201 or Above,NAM Low-Touch
H00542978,26 to 200,NAM Low-Touch
H00543437,1 to 25,NAM Unowned
H00543469,26 to 200,NAM Low-Touch
H00543903,201 or Above,NAM Partner
H00543924,1 to 25,International Direct
H00544030,1 to 25,NAM Low-Touch
H00544042,1 to 25,International Low-touch
H00544107,26 to 200,NAM Partner
H00544124,Undefined,NAM Low-Touch
H00544130,1 to 25,NAM Low-Touch
H00544144,1 to 25,International Direct
H00544318,1 to 25,NAM Low-Touch
H00544326,1 to 25,NAM Low-Touch
H00544345,201 or Above,International Partner
H00544386,1 to 25,NAM Low-Touch
H00544397,1 to 25,NAM Low-Touch
H00544437,Undefined,NAM Partner
H00544465,26 to 200,International Partner
H00544528,1 to 25,NAM Low-Touch
H00544570,1 to 25,NAM Low-Touch
H00544597,26 to 200,NAM High-touch
H00544676,1 to 25,NAM Direct
H00544888,1 to 25,NAM Low-Touch
H00544940,1 to 25,NAM Low-Touch
H00545112,1 to 25,NAM Unowned
H00545266,Undefined,NAM High-touch
H00545280,26 to 200,NAM Partner
H00545301,1 to 25,NAM Unowned
H00641687,1 to 25,International Low-touch
H00642038,201 or Above,NAM Low-Touch
H00642104,201 or Above,NAM High-touch
H00642114,1 to 25,NAM Low-Touch
H00642155,1 to 25,International Direct
H00642334,26 to 200,NAM Unowned
H00642360,1 to 25,International Direct
H00642429,1 to 25,International Low-touch
H00642554,26 to 200,NAM Low-Touch
H00642592,26 to 200,NAM Low-Touch
H00642711,201 or Above,International Partner
H00642802,26 to 200,International Low-touch
H00642846,201 or Above,International Direct
H00642942,1 to 25,International Direct
H00642954,26 to 200,International Low-touch
H00643055,201 or Above,International Direct
H00643067,26 to 200,International Direct
H00643110,Undefined,International Partner
H00643170,201 or Above,International Direct
H00643366,1 to 25,NAM Low-Touch
H00643412,1 to 25,NAM Direct
H00643465,1 to 25,NAM Partner
H00643750,26 to 200,NAM Low-Touch
H00643783,26 to 200,NAM Low-Touch
H00643856,1 to 25,International Direct
H00643912,26 to 200,NAM Low-Touch
H00643917,1 to 25,NAM Direct
H00643928,26 to 200,International Direct
H00643977,1 to 25,NAM Low-Touch
H00644007,1 to 25,NAM Low-Touch
H00644023,1 to 25,International Low-touch
H00644037,1 to 25,NAM Low-Touch
H00644156,1 to 25,International Low-touch
H00644209,1 to 25,International Direct
H00644220,1 to 25,NAM Low-Touch
H00644230,1 to 25,International Low-touch
H00644293,26 to 200,International Partner
H00644392,26 to 200,NAM Direct
H00644463,1 to 25,NAM High-touch
H00644662,1 to 25,International Partner
H00644679,1 to 25,NAM Low-Touch
H00644686,201 or Above,NAM Direct
H00644714,26 to 200,NAM Low-Touch
H00644744,26 to 200,International Direct
H00644769,26 to 200,NAM Direct
H00644846,1 to 25,NAM Low-Touch
H00644857,1 to 25,NAM Low-Touch
H00644950,1 to 25,NAM Low-Touch
H00645064,1 to 25,NAM Unowned
H00645104,1 to 25,International Direct
H00741501,1 to 25,International Direct
H00741593,1 to 25,International Low-touch
H00741630,26 to 200,NAM Partner
H00741940,1 to 25,NAM Low-Touch
H00742086,26 to 200,NAM Partner
H00742163,201 or Above,International Direct
H00742313,1 to 25,International Direct
H00742526,26 to 200,NAM Partner
H00742666,Undefined,NAM Unowned
H00742677,26 to 200,International Direct
H00742685,1 to 25,NAM Low-Touch
H00742688,1 to 25,NAM Low-Touch
H00742771,1 to 25,NAM Low-Touch
H00742783,1 to 25,International Low-touch
H00742811,26 to 200,NAM Partner
H00742865,26 to 200,NAM Low-Touch
H00743043,1 to 25,NAM Low-Touch
H00743077,Undefined,International Low-touch
H00743323,26 to 200,NAM Direct
H00743436,1 to 25,International Low-touch
H00743445,26 to 200,International Low-touch
H00743456,26 to 200,NAM Low-Touch
H00743781,1 to 25,NAM Low-Touch
H00743802,1 to 25,NAM Unowned
H00743811,1 to 25,NAM Low-Touch
H00743835,26 to 200,International Partner
H00743853,201 or Above,International Partner
H00743913,1 to 25,NAM Low-Touch
H00743989,1 to 25,NAM Partner
H00743993,1 to 25,International Direct
H00743996,26 to 200,International Partner
H00744041,1 to 25,NAM Low-Touch
H00744100,1 to 25,NAM Low-Touch
H00744344,26 to 200,International Low-touch
H00744390,Undefined,International Direct
H00744554,26 to 200,NAM Direct
H00744669,Undefined,International Partner
H00744805,1 to 25,NAM Low-Touch
H00744871,1 to 25,NAM Low-Touch
H00744873,26 to 200,International Low-touch
H00744956,1 to 25,International Direct
H00745086,1 to 25,International Low-touch
H00745130,1 to 25,NAM Partner
H00745163,1 to 25,International Low-touch
H00745221,1 to 25,NAM Unowned
H00841567,201 or Above,NAM Direct
H00841752,1 to 25,International Direct
H00841799,1 to 25,NAM Low-Touch
H00841803,1 to 25,NAM Low-Touch
H00841924,1 to 25,NAM Low-Touch
H00842148,26 to 200,NAM Direct
H00842176,201 or Above,NAM Direct
H00842410,1 to 25,NAM Low-Touch
H00842448,201 or Above,NAM Direct
H00842482,1 to 25,NAM Low-Touch
H00842504,1 to 25,NAM Partner
H00842505,1 to 25,NAM Low-Touch
H00842561,26 to 200,International Partner
H00842686,1 to 25,NAM Low-Touch
H00842863,1 to 25,International Low-touch
H00842881,201 or Above,NAM High-touch
H00842939,Undefined,NAM Low-Touch
H00843067,1 to 25,NAM Low-Touch
H00843272,201 or Above,International Partner
H00843299,26 to 200,NAM High-touch
H00843338,26 to 200,International Direct
H00843435,26 to 200,International Direct
H00843814,26 to 200,NAM Low-Touch
H00843855,1 to 25,NAM Low-Touch
H00843941,1 to 25,NAM Low-Touch
H00843951,26 to 200,NAM Partner
H00844072,201 or Above,International Direct
H00844236,26 to 200,NAM Direct
H00844336,1 to 25,International Direct
H00844386,Undefined,NAM Low-Touch
H00844434,201 or Above,NAM Low-Touch
H00844515,Undefined,International Direct
H00844532,26 to 200,NAM High-touch
H00844536,201 or Above,NAM High-touch
H00844559,26 to 200,NAM Low-Touch
H00844598,1 to 25,NAM Low-Touch
H00844641,26 to 200,International Direct
H00844642,1 to 25,International Low-touch
H00844649,1 to 25,NAM Low-Touch
H00844770,1 to 25,International Direct
H00844937,1 to 25,NAM Low-Touch
H00845039,1 to 25,International Direct
H00845162,26 to 200,NAM Direct
H00942056,1 to 25,International Direct
H00942126,201 or Above,NAM Low-Touch
H00942141,26 to 200,NAM Low-Touch
H00942300,26 to 200,NAM Low-Touch
H00942327,1 to 25,NAM Low-Touch
H00942430,26 to 200,NAM Low-Touch
H00942433,201 or Above,International Direct
H00942517,26 to 200,International Direct
H00942531,26 to 200,International Direct
H00942571,26 to 200,NAM Direct
H00942580,26 to 200,NAM High-touch
H00942622,1 to 25,International Direct
H00942624,1 to 25,International Direct
H00942669,26 to 200,NAM Low-Touch
H00942687,1 to 25,NAM Low-Touch
H00942786,1 to 25,NAM Partner
H00942802,1 to 25,International Low-touch
H00942860,26 to 200,NAM Unowned
H00942892,26 to 200,International Direct
H00942946,26 to 200,International Direct
H00942954,26 to 200,International Direct
H00943003,1 to 25,NAM Low-Touch
H00943057,201 or Above,NAM Direct
H00943309,201 or Above,NAM High-touch
H00943800,1 to 25,NAM High-touch
H00943825,1 to 25,International Direct
H00943903,1 to 25,NAM Low-Touch
H00944005,1 to 25,International Direct
H00944063,1 to 25,International Low-touch
H00944157,26 to 200,NAM Low-Touch
H00944248,Undefined,NAM Low-Touch
H00944284,26 to 200,International Direct
H00944286,1 to 25,International Low-touch
H00944300,26 to 200,NAM Low-Touch
H00944338,1 to 25,International Direct
H00944411,26 to 200,International Partner
H00944545,26 to 200,NAM Low-Touch
H00944567,1 to 25,NAM Low-Touch
H00944650,26 to 200,International Direct
H00944666,1 to 25,International Partner
H00944714,26 to 200,International Partner
H00944826,26 to 200,NAM Direct
H00944861,Undefined,International Direct
H00944862,1 to 25,International Partner
H00944893,1 to 25,International Low-touch
H00944896,1 to 25,International Low-touch
H00944947,1 to 25,NAM Low-Touch
H00944956,26 to 200,NAM Unowned
H00944968,1 to 25,International Direct
H00944969,1 to 25,NAM Unowned
H00944985,Undefined,NAM Unowned
H00945183,26 to 200,NAM Direct
H00945229,1 to 25,NAM Unowned
H01041566,1 to 25,International Direct
H01041905,1 to 25,NAM Low-Touch
H01041981,1 to 25,NAM Low-Touch
H01041985,26 to 200,NAM Partner
H01041991,1 to 25,International Low-touch
H01042219,1 to 25,NAM Partner
H01042468,1 to 25,International Direct
H01042519,26 to 200,NAM Direct
H01042529,26 to 200,International High-touch
H01042548,1 to 25,International Low-touch
H01042564,201 or Above,NAM Low-Touch
H01042629,1 to 25,NAM Low-Touch
H01042944,1 to 25,International Low-touch
H01042951,26 to 200,International Partner
H01043013,201 or Above,NAM Low-Touch
H01043074,201 or Above,NAM Direct
H01043275,26 to 200,NAM Low-Touch
H01043278,1 to 25,International Direct
H01043283,1 to 25,NAM Low-Touch
H01043377,1 to 25,NAM Unowned
H01043391,1 to 25,NAM Direct
H01043436,201 or Above,International Partner
H01043482,26 to 200,International Low-touch
H01043793,1 to 25,NAM Low-Touch
H01043823,201 or Above,International Direct
H01043934,1 to 25,International Direct
H01043935,1 to 25,NAM High-touch
H01043967,Undefined,International Low-touch
H01043968,1 to 25,NAM Low-Touch
H01043971,26 to 200,NAM Unowned
H01044024,26 to 200,NAM High-touch
H01044028,1 to 25,NAM Direct
H01044137,1 to 25,International Direct
H01044191,26 to 200,NAM Low-Touch
H01044223,1 to 25,International Partner
H01044265,1 to 25,International Partner
H01044285,1 to 25,International Low-touch
